KO	KO_description
K17328	bxlG; xylobiose transport system permease protein
K17329	dasA; N,N'-diacetylchitobiose transport system substrate-binding protein
K17330	dasB; N,N'-diacetylchitobiose transport system permease protein
K17331	dasC; N,N'-diacetylchitobiose transport system permease protein
K17362	ACOT13; acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]
K17364	dmrA; dihydromethanopterin reductase [EC:1.5.1.47]
K17382	LACTB; serine beta-lactamase-like protein LACTB, mitochondrial
K17462	yrrT; putative AdoMet-dependent methyltransferase [EC:2.1.1.-]
K17468	dgaE; D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]
K17472	cymR; Rrf2 family transcriptional regulator, cysteine metabolism repressor
K17484	E2.3.2.21; cyclo(L-tyrosyl-L-tyrosyl) synthase [EC:2.3.2.21]
K17488	mptA; GTP cyclohydrolase IV [EC:3.5.4.39]
K17490	E2.1.3.1-1.3S; methylmalonyl-CoA carboxyltransferase 1.3S subunit [EC:2.1.3.1]
K17497	PMM; phosphomannomutase [EC:5.4.2.8]
K17509	PDPR; pyruvate dehydrogenase phosphatase regulatory subunit
K17592	SACS; sacsin
K17608	STRN1_3_4; striatin 1/3/4
K17609	NXN; nucleoredoxin [EC:1.8.1.8]
K17640	bxlR; LacI family transcriptional regulator, xylobiose transport system transcriptional regulator
K17641	bxlA; beta-xylosidase
K17662	CBP3, UQCC; cytochrome b pre-mRNA-processing protein 3
K17675	SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
K17677	IRC3; ATP-dependent helicase IRC3 [EC:3.6.4.-]
K17686	copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]
K17713	bamB; outer membrane protein assembly factor BamB
K17717	pld; phospholipase D [EC:3.1.4.4]
K17722	preT; dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]
K17723	preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]
K17724	IRG1; aconitate decarboxylase [EC:4.1.1.6]
K17725	ETHE1; sulfur dioxygenase [EC:1.13.11.18]
K17733	cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]
K17734	aprX; serine protease AprX [EC:3.4.21.-]
K17735	lcdH, cdhA; carnitine 3-dehydrogenase [EC:1.1.1.108]
K17737	dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator
K17742	SOU1; sorbose reductase [EC:1.1.1.289]
K17752	rsbT; serine/threonine-protein kinase RsbT [EC:2.7.11.1]
K17755	codA; choline oxidase [EC:1.1.3.17]
K17756	FAO3; long-chain-alcohol oxidase [EC:1.1.3.20]
K17758	nnrD; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
K17760	qheDH, qbdA; quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]
K17762	rsbS; rsbT antagonist protein RsbS
K17763	rsbR; rsbT co-antagonist protein RsbR
K17800	LETM1, MDM38; LETM1 and EF-hand domain-containing protein 1, mitochondrial
K17803	OMS1; methyltransferase OMS1, mitochondrial [EC:2.1.1.-]
K17804	TIM44; mitochondrial import inner membrane translocase subunit TIM44
K17810	asl; D-aspartate ligase [EC:6.3.1.12]
K17811	K17811; halimadienyl-diphosphate synthase [EC:5.5.1.16]
K17818	ARD1; D-arabinitol dehydrogenase (NADP+) [EC:1.1.1.287]
K17828	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]
K17829	ccrA; crotonyl-CoA reductase [EC:1.3.1.86]
K17830	GGR; digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
K17835	griH; 3-amino-4-hydroxybenzoic acid synthase [EC:4.1.99.20]
K17836	penP; beta-lactamase class A [EC:3.5.2.6]
K17837	bla2, blm, ccrA, blaB; metallo-beta-lactamase class B [EC:3.5.2.6]
K17838	oxa; beta-lactamase class D [EC:3.5.2.6]
K17840	aac2-I; aminoglycoside 2'-N-acetyltransferase I [EC:2.3.1.59]
K17850	ampR; LysR family transcriptional regulator, regulator of gene expression of beta-lactamase
K17865	croR; 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
K17872	NDC1, ndbB; demethylphylloquinone reductase [EC:1.6.5.12]
K17879	NUDT7; peroxisomal coenzyme A diphosphatase NUDT7 [EC:3.6.1.-]
K17880	hyg; hygromycin-B 7''-O-kinase [EC:2.7.1.119]
K17883	mtr; mycothione reductase [EC:1.8.1.15]
K17884	E2.7.8.39; archaetidylinositol phosphate synthase [EC:2.7.8.39]
K17890	ATG16L1; autophagy-related protein 16-1
K17892	FTRC; ferredoxin-thioredoxin reductase catalytic chain [EC:1.8.7.2]
K17893	AOX1, AOX2; ubiquinol oxidase [EC:1.10.3.11]
K17910	aphD; aminoglycoside 2''-phosphotransferase [EC:2.7.1.190]
K17938	sbmA, bacA; peptide/bleomycin uptake transporter
K17947	wbiB; dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
K17948	nanM; N-acetylneuraminate epimerase [EC:5.1.3.24]
K17950	cuyA; L-cysteate sulfo-lyase [EC:4.4.1.25]
K17989	SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]
K17993	hydA; sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]
K17994	hydD; sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]
K17996	hydB; sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]
K18007	hoxY; NAD-reducing hydrogenase small subunit [EC:1.12.1.2]
K18009	budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
K18011	kamE; beta-lysine 5,6-aminomutase beta subunit [EC:5.4.3.3]
K18012	kdd; L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]
K18013	kce; 3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]
K18014	kal; 3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]
K18017	mbhK; membrane-bound hydrogenase subunit beta [EC:1.12.7.2]
K18028	nicX; 2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9]
K18029	nicA; nicotinate dehydrogenase subunit A [EC:1.17.2.1]
K18030	nicB; nicotinate dehydrogenase subunit B [EC:1.17.2.1]
K18055	HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]
K18058	asnO; L-asparagine oxygenase [EC:1.14.11.39]
K18067	pht4; phthalate 4,5-cis-dihydrodiol dehydrogenase [EC:1.3.1.64]
K18068	pht3; phthalate 4,5-dioxygenase [EC:1.14.12.7]
K18069	pht2; phthalate 4,5-dioxygenase reductase component [EC:1.18.1.-]
K18096	bjaI, rpaI, braI, rhiI; acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]
K18098	bjaR1, rpaR, rhiR; LuxR family transcriptional regulator, quorum-sensing system regulator BjaR1
K18101	rhlB; rhamnosyltransferase subunit B [EC:2.4.1.-]
K18106	GAAA; D-galacturonate reductase [EC:1.1.1.-]
K18118	aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K18119	sucD; succinate-semialdehyde dehydrogenase [EC:1.2.1.76]
K18122	cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
K18123	HOGA1; 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump
K18139	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system
K18144	adeR; two-component system, OmpR family, response regulator AdeR
K18148	rtcB; release factor H-coupled RctB family protein
K18151	UAH; ureidoglycolate amidohydrolase [EC:3.5.1.116]
K18159	NDUFAF1, CIA30; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1
K18162	NDUFAF5; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]
K18163	NDUFAF6; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6
K18164	NDUFAF7; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7
K18166	FOXRED1; FAD-dependent oxidoreductase domain-containing protein 1
K18172	CMC2; COX assembly mitochondrial protein 2
K18173	COA1; cytochrome c oxidase assembly factor 1
K18189	TACO1; translational activator of cytochrome c oxidase 1
K18195	RGL4, rhiE; rhamnogalacturonan endolyase [EC:4.2.2.23]
K18197	yesW; rhamnogalacturonan endolyase [EC:4.2.2.23]
K18199	inhA; cyclohexyl-isocyanide hydratase [EC:4.2.1.103]
K18201	AGPHD1; hydroxylysine kinase [EC:2.7.1.81]
K18208	RNLS; renalase [EC:1.6.3.5]
K18214	tetP_A, tet40; MFS transporter, DHA3 family, tetracycline resistance protein
K18218	tet35; tetracycline resistance efflux pump
K18220	tetM, tetO; ribosomal protection tetracycline resistance protein
K18223	prmA; propane 2-monooxygenase large subunit [EC:1.14.13.227]
K18224	prmC; propane 2-monooxygenase small subunit [EC:1.14.13.227]
K18225	prmB; propane monooxygenase reductase component [EC:1.18.1.-]
K18226	prmD; propane monooxygenase coupling protein
K18230	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein
K18232	oleC4; oleandomycin transport system ATP-binding protein
K18233	oleC5; oleandomycin transport system permease protein
K18234	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]
K18235	vgb; virginiamycin B lyase [EC:4.2.99.-]
K18236	lnuB_F, lin; lincosamide nucleotidyltransferase B/F
K18240	xanB2; chorismate lyase / 3-hydroxybenzoate synthase [EC:4.1.3.40 4.1.3.45]
K18243	nagH; salicylate 5-hydroxylase small subunit [EC:1.14.13.172]
K18258	CRYM; thiomorpholine-carboxylate dehydrogenase [EC:1.5.1.25]
K18277	tmm; trimethylamine monooxygenase [EC:1.14.13.148]
K18285	mqnE; aminodeoxyfutalosine synthase [EC:2.5.1.120]
K18286	add; aminodeoxyfutalosine deaminase [EC:3.5.4.40]
K18287	griI; 2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate synthase [EC:4.1.2.56]
K18288	ict-Y; itaconate CoA-transferase [EC:2.8.3.-]
K18289	ict-P; itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22]
K18290	ich-Y; itaconyl-CoA hydratase [EC:4.2.1.56]
K18292	E4.1.3.25; (S)-citramalyl-CoA lyase [EC:4.1.3.25]
K18294	nfxB; TetR/AcrR family transcriptional regulator, mexCD-oprJ operon repressor
K18297	mexT; LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator
K18300	oprN; outer membrane protein, multidrug efflux system
K18301	mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor
K18302	mexJ; membrane fusion protein, multidrug efflux system
K18305	mexG; transmembrane protein
K18306	mexH; membrane fusion protein, multidrug efflux system
K18320	IS15, IS26; transposase, IS6 family
K18333	K18333; L-fucose dehydrogenase
K18334	fucD; L-fuconate dehydratase [EC:4.2.1.68]
K18335	K18335; 2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
K18336	lra6; 2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]
K18337	LRA1; L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]
K18346	vanW; vancomycin resistance protein VanW
K18347	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]
K18351	vanSAc; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
K18352	vanRAc; two-component system, OmpR family, response regulator VanR
K18353	vanJ; vancomycin resistance protein VanJ
K18362	padC; phenylacetyl-CoA:acceptor oxidoreductase 27-kDa subunit
K18367	CoADR; CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]
K18369	adh2; alcohol dehydrogenase [EC:1.1.1.-]
K18371	acmA; acetone monooxygenase (methyl acetate-forming) [EC:1.14.13.226]
K18372	acmB; methyl acetate hydrolase [EC:3.1.1.114]
K18382	adh1; NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]
K18383	ferB; feruloyl-CoA hydratase/lyase [EC:4.1.2.61]
K18399	BPHL; valacyclovir hydrolase [EC:3.1.-.-]
K18425	dhaa; 3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]
K18430	legI, neuB2; N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]
K18431	legF, ptmB; CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]
K18434	virD2; type IV secretion system T-DNA border endonuclease VirD2
K18445	ndx1; diadenosine hexaphosphate hydrolase (ATP-forming) [EC:3.6.1.61]
K18446	ygiF; triphosphatase [EC:3.6.1.25]
K18453	NUDT23; ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]
K18455	mca; mycothiol S-conjugate amidase [EC:3.5.1.115]
K18456	E3.5.4.32; 8-oxoguanine deaminase [EC:3.5.4.32]
K18457	laaA; L-proline amide hydrolase [EC:3.5.1.101]
K18459	gpuA; guanidinopropionase [EC:3.5.3.17]
K18472	accD6; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
K18475	fliB; lysine-N-methylase [EC:2.1.1.-]
K18476	tetR; TetR/AcrR family transcriptional regulator, tetracycline repressor protein
K18478	yihV; sulfofructose kinase [EC:2.7.1.184]
K18479	yihS; sulfoquinovose isomerase [EC:5.3.1.31]
K18480	linN; cholesterol transport system auxiliary component
K18481	mas; Mce-associated membrane protein
K18532	AK6, FAP7; adenylate kinase [EC:2.7.4.3]
K18540	ramA; (R)-amidase [EC:3.5.1.100]
K18545	sprB; streptogrisin B [EC:3.4.21.81]
K18546	sprC; streptogrisin C [EC:3.4.21.-]
K18547	sprD; streptogrisin D [EC:3.4.21.-]
K18552	cmlA, cmlB, floR; MFS transporter, DHA1 family, chloramphenicol/florfenicol resistance protein
K18553	cmlR, cmx; MFS transporter, DHA1 family, chloramphenicol resistance protein
K18554	cpt; chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]
K18555	qnr, mcbG; fluoroquinolone resistance protein
K18575	TMEM86B; alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]
K18576	XEG; xyloglucan-specific endo-beta-1,4-glucanase [EC:3.2.1.151]
K18578	CEL74A; xyloglucan-specific exo-beta-1,4-glucanase [EC:3.2.1.155]
K18579	6GAL; galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]
K18581	ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]
K18586	COQ4; ubiquinone biosynthesis protein COQ4
K18587	COQ9; ubiquinone biosynthesis protein COQ9
K18588	COQ10; coenzyme Q-binding protein COQ10
K18594	K18594; 3-hydroxypropionyl-CoA synthetase (ADP-forming) [EC:6.2.1.-]
K18601	K18601; aldehyde dehydrogenase [EC:1.2.1.-]
K18602	K18602; malonic semialdehyde reductase [EC:1.1.1.-]
K18603	K18603; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]
K18605	K18605; biotin carboxyl carrier protein
K18622	ADD; adducin
K18640	parM, stbA; plasmid segregation protein ParM
K18649	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]
K18660	ACSF3; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K18661	matB; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K18662	matB; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K18667	ASCC2; activating signal cointegrator complex subunit 2
K18672	dacA; diadenylate cyclase [EC:2.7.7.85]
K18676	gspK; glucosamine kinase [EC:2.7.1.8]
K18678	VTE5; phytol kinase [EC:2.7.1.182]
K18682	rny; ribonucrease Y [EC:3.1.-.-]
K18687	fadD3; HIP---CoA ligase [EC:6.2.1.41]
K18688	fadD19; 3-oxocholest-4-en-26-oate---CoA ligase [EC:6.2.1.42]
K18691	mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
K18697	pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]
K18700	flK; fluoroacetyl-CoA thioesterase [EC:3.1.2.29]
K18701	arsC; arsenate-mycothiol transferase [EC:2.8.4.2]
K18702	uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]
K18703	SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]
K18704	tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]
K18707	mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]
K18778	zapD; cell division protein ZapD
K18779	tgtA; 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]
K18801	GXM; glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
K18802	DUG3; glutamine amidotransferase
K18814	ictB; putative inorganic carbon (hco3(-)) transporter
K18815	aac6-I; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]
K18816	aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]
K18817	hph; hygromycin-B 4-O-kinase [EC:2.7.1.163]
K18827	wbdD, wbbD; O-antigen chain-terminating methyltransferase [EC:2.1.1.- 2.1.1.294 2.7.1.181]
K18828	mvpA, vapC; tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
K18829	mvpT, vapB; antitoxin VapB
K18831	higA; HTH-type transcriptional regulator / antitoxin HigA
K18833	cmr; MFS transporter, DHA3 family, multidrug efflux protein
K18841	chpB, chpBK; mRNA interferase ChpB [EC:3.1.-.-]
K18842	chpS, chpBI; antitoxin ChpS
K18843	hicB; antitoxin HicB
K18844	aph, spcN; spectinomycin phosphotransferase
K18845	rmt, armA; 16S rRNA (guanine(1405)-N(7))-methyltransferase [EC:2.1.1.179]
K18846	npmA; 16S rRNA (adenine(1408)-N(1))-methyltransferase [EC:2.1.1.180]
K18850	ycfD; 50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]
K18851	fbp; diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase [EC:2.3.1.20 2.3.1.122]
K18853	dmrX; dihydromethanopterin reductase (acceptor) [EC:1.5.99.15]
K18855	E1.1.1.374; UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]
K18862	ldrA_B_C_D; small toxic polypeptide LdrA/B/C/D
K18882	priL, pri2, priB; DNA primase large subunit
K18889	mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump
K18890	mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump
K18893	vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump
K18896	gsmt; glycine/sarcosine N-methyltransferase [EC:2.1.1.156]
K18897	sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]
K18900	bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC
K18901	bpeE; membrane fusion protein, multidrug efflux system
K18903	oprC, opcM; outer membrane protein, multidrug efflux system
K18904	nodT, ameC; outer membrane protein, multidrug efflux system
K18905	ameR, rmiR; TetR/AcrR family transcriptional regulator, repressor of the ameABC operon
K18910	dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
K18911	egtD; L-histidine Nalpha-methyltransferase [EC:2.1.1.44]
K18912	egtB; gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]
K18913	egtE; hercynylcysteine S-oxide lyase [EC:4.4.1.36]
K18914	FDXR; adrenodoxin-NADP+ reductase [EC:1.18.1.6]
K18916	ptxD; phosphonate dehydrogenase [EC:1.20.1.1]
K18917	mrx1; mycoredoxin [EC:1.20.4.3]
K18918	relB; RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB
K18923	stbD; antitoxin StbD
K18926	lmrB; MFS transporter, DHA2 family, lincomycin resistance protein
K18928	lldE; L-lactate dehydrogenase complex protein LldE
K18929	lldF; L-lactate dehydrogenase complex protein LldF
K18930	dld; D-lactate dehydrogenase
K18933	mfnA, adc; tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]
K18939	lmrA, yxaF; TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor
K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
K18955	whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
K18956	whiB5; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
K18957	whiB6; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
K18958	whiB7; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
K18960	gp49; recombination endonuclease VII
K18962	rnlB; T4 RNA ligase 2 [EC:6.5.1.3]
K18967	dge1; diguanylate cyclase [EC:2.7.7.65]
K18968	adrA; diguanylate cyclase [EC:2.7.7.65]
K18978	gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]
K18979	queG; epoxyqueuosine reductase [EC:1.17.99.6]
K18981	udh; uronate dehydrogenase [EC:1.1.1.203]
K18982	gli; D-galactarolactone isomerase [EC:5.4.1.4]
K18983	gci; D-galactarolactone cycloisomerase [EC:5.5.1.27]
K18988	ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]
K18990	vexE; membrane fusion protein, multidrug efflux system
K18991	mtrA; AraC family transcriptional regulator, activator of mtrCDE
K18996	repC; replication initiation protein RepC
K18997	cbpM; chaperone modulatory protein CbpM
K19000	rof; Rho-binding antiterminator
K19002	mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]
K19003	mgdA; 1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]
K19005	ltaS; lipoteichoic acid synthase [EC:2.7.8.20]
K19032	PSRP3; 30S ribosomal protein 3
K19033	PSRP4, RPS31; 30S ribosomal protein S31
K19046	casB, cse2; CRISPR system Cascade subunit CasB
K19048	symE; toxic protein SymE
K19049	cslA; chondroitin AC lyase [EC:4.2.2.5]
K19055	prdX, proX; Ala-tRNA(Pro) deacylase [EC:3.1.1.-]
K19058	merC; mercuric ion transport protein
K19064	lysDH; lysine 6-dehydrogenase [EC:1.4.1.18]
K19068	wbjC; UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]
K19073	DVR; divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]
K19075	cst2, cas7; CRISPR-associated protein Cst2
K19076	cmr2, cas10; CRISPR-associated protein Cmr2
K19085	csa1; CRISPR-associated protein Csa1
K19088	cst1, cas8a; CRISPR-associated protein Cst1
K19090	cas5t; CRISPR-associated protein Cas5t
K19091	cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]
K19092	parE1_3_4; toxin ParE1/3/4
K19113	ttr; acetyltransferase [EC:2.3.1.-]
K19114	csh1; CRISPR-associated protein Csh1
K19115	csh2; CRISPR-associated protein Csh2
K19116	cas5h; CRISPR-associated protein Cas5h
K19117	csd1, cas8c; CRISPR-associated protein Csd1
K19118	csd2, cas7; CRISPR-associated protein Csd2
K19119	cas5d; CRISPR-associated protein Cas5d
K19120	csc1; CRISPR-associated protein Csc1
K19121	csc2; CRISPR-associated protein Csc2
K19122	csc3; CRISPR-associated protein Csc3
K19123	casA, cse1; CRISPR system Cascade subunit CasA
K19124	casC, cse4; CRISPR system Cascade subunit CasC
K19125	casD, cse5; CRISPR system Cascade subunit CasD
K19126	casE, cse3; CRISPR system Cascade subunit CasE
K19131	csb1; CRISPR-associated protein Csb1
K19132	csb2; CRISPR-associated protein Csb2
K19133	csb3; CRISPR-associated protein Csb3
K19134	csx10; CRISPR-associated protein Csx10
K19136	csx17; CRISPR-associated protein Csx17
K19139	csm4; CRISPR-associated protein Csm4
K19140	csm5; CRISPR-associated protein Csm5
K19141	cmr5; CRISPR-associated protein Cmr5
K19142	cmr6; CRISPR-associated protein Cmr6
K19144	csx3; CRISPR-associated protein Csx3
K19147	mcrC; 5-methylcytosine-specific restriction enzyme subunit McrC
K19155	yhaV; toxin YhaV [EC:3.1.-.-]
K19156	prlF, sohA; antitoxin PrlF
K19157	yafQ; mRNA interferase YafQ [EC:3.1.-.-]
K19158	yoeB; toxin YoeB [EC:3.1.-.-]
K19159	yefM; antitoxin YefM
K19163	ccdB; toxin CcdB
K19164	ccdA; antitoxin CcdA
K19165	phd; antitoxin Phd
K19166	higB; mRNA interferase HigB [EC:3.1.-.-]
K19168	cptA; toxin CptA
K19169	dndB; DNA sulfur modification protein DndB
K19170	dndC; DNA sulfur modification protein DndC
K19171	dndD; DNA sulfur modification protein DndD
K19172	dndE; DNA sulfur modification protein DndE
K19175	dptH; DNA phosphorothioation-dependent restriction protein DptH
K19176	FAAH2; fatty acid amide hydrolase 2 [EC:3.5.1.99]
K19181	afr; 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [EC:1.1.1.292]
K19185	kdhA; 6-hydroxypseudooxynicotine dehydrogenase subunit alpha [EC:1.5.99.14]
K19186	kdhB; 6-hydroxypseudooxynicotine dehydrogenase subunit beta [EC:1.5.99.14]
K19189	dhpH; 2,6-dihydroxypyridine 3-monooxygenase [EC:1.14.13.10]
K19200	IAL; isopenicillin-N N-acyltransferase like protein
K19221	cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K19222	menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
K19225	gluP; rhomboid protease GluP [EC:3.4.21.105]
K19243	azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
K19244	ala; alanine dehydrogenase [EC:1.4.1.1]
K19265	gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
K19267	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K19268	glmE, mutE, mamB; methylaspartate mutase epsilon subunit [EC:5.4.99.1]
K19270	hxpA; mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50]
K19271	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]
K19272	aph3-I; aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]
K19290	alg8; mannuronan synthase [EC:2.4.1.33]
K19291	alg44; mannuronan synthase [EC:2.4.1.33]
K19293	algX; alginate biosynthesis protein AlgX
K19294	algI; alginate O-acetyltransferase complex protein AlgI
K19295	algJ; alginate O-acetyltransferase complex protein AlgJ
K19296	algF; alginate O-acetyltransferase complex protein AlgF
K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
K19303	mepH; murein DD-endopeptidase [EC:3.4.-.-]
K19304	mepM; murein DD-endopeptidase [EC:3.4.24.-]
K19311	lipV; lipase [EC:3.1.1.-]
K19333	kdgR; IclR family transcriptional regulator, KDG regulon repressor
K19334	tabA; biofilm protein TabA
K19335	bdcR; TetR/AcrR family transcriptional regulator, repressor for divergent bdcA
K19337	hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator
K19338	nac; LysR family transcriptional regulator, nitrogen assimilation regulatory protein
K19339	nosR; NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator
K19340	nosF; Cu-processing system ATP-binding protein
K19341	nosY; Cu-processing system permease protein
K19342	nosL; copper chaperone NosL
K19344	nirC; cytochrome c55X
K19345	nirF; protein NirF
